-4260,1196,-17428,-10,197,316
-4200,968,-17476,-29,273,286
-3988,220,-18444,479,1537,-76
-4004,24,-17484,1803,2018,256
-3888,-72,-17576,1931,2108,323
3460,-660,-16424,4755,6584,3575
3936,-640,-16396,5012,7261,4125
-3980,1008,-17864,2012,6695,5137
-2384,1092,-18228,-4702,2364,-3967
-2528,-744,-16260,-5735,-143,-4490
-1660,-2160,-17176,-673,-3967,1543
-1100,376,-17784,1794,-5822,1350
1692,2472,-20888,893,-5307,1222
-3076,600,-16952,1187,-4664,2498
-6260,-1692,-12400,231,-5681,1900
-1712,-5864,-17620,596,-4877,3375
-3148,-872,-20588,-304,-2169,1513
-3040,1876,-16864,-290,-2063,1810
-4736,-768,-16864,-2696,-2974,2679
-6688,-6504,-15936,-2922,-4713,1760
-2592,-1892,-16364,215,-6190,2514
-2408,2104,-17136,-1103,-5620,3286
-3688,-236,-16708,-2354,-4056,4872
-5484,-1688,-16128,-1925,-4333,6894
-5660,-2564,-15936,-1761,-5599,5548
-6260,-660,-17888,-2024,-6660,4733
-5156,-108,-23056,-4367,-6797,4266
-5200,-5212,-22080,-5894,-4972,3565
-2188,-5408,-22892,-3466,-2773,2760
-2300,-7720,-25428,-172,8127,388
-1272,-2588,-23184,5506,17109,-7776
980,3652,-21072,12894,23944,-6768
-15688,9172,-20480,6610,22864,-6045
-5984,1032,-19192,7847,15798,6367
-220,1516,-18272,11798,14658,10589
-6324,-7108,-12348,7248,8784,-541
-1620,-7032,-15436,12869,7127,-9679
-5776,768,-12108,10512,4194,-16958
-2268,4888,-8164,3223,-2194,-19015
1432,4180,-6756,-1528,-8203,-14510
4956,428,-13904,-4602,-13266,-10164
10308,-10320,-27720,-4881,-6925,-14546
9256,192,-30904,-73,4000,-7278
6700,-840,-16332,-2038,6632,-6153
-16196,7448,-19240,3273,-544,6778
-3416,220,-28800,-1942,-5757,24727
-7204,-1236,-13140,-3291,-4533,9655
-7124,420,-21036,-10115,-11613,749
-6244,-5864,-14592,-5124,-14083,2392
-924,-692,-15492,-1238,-13509,6051
-792,2844,-14776,-4375,-9516,5018
-4812,-2020,-12152,-4017,-8322,6771
-2460,-4668,-16464,-2408,-9275,8943
-4948,-2352,-15536,-5028,-9191,3945
-4916,-2748,-20580,-5489,-9747,3597
-1608,-1120,-22976,-4506,-4089,3966
-3184,-4684,-24564,-2392,191,4931
2288,-9156,-22252,744,5944,3806
92,-9672,-23152,91,17231,-8865
-692,6200,-25036,12849,26506,-3436
-16048,13408,-21100,6421,22208,1079
-3776,-3300,-24800,8009,14173,12743
-2544,-8232,-17744,9565,12775,4754
-3448,-2252,-13284,13930,8650,-2013
-4968,-2424,-10320,9533,5523,-20421
-2984,4268,-7328,4459,3697,-18971
-2896,5392,-6376,-1905,-4177,-18612
640,620,-11040,-2060,-12020,-12954
7760,-5188,-22068,137,-14185,-8259
12056,-7044,-29568,-1324,-7160,-8352
3864,-2636,-23128,-1433,3633,-12802
5948,1352,-11048,2438,6688,-5535
-32768,18004,-32400,4462,-6934,23765
-9988,-588,-8192,2556,-632,22775
-8108,-1980,-9996,-3748,-9865,15498
-7828,-2132,-15656,-8946,-10380,1797
-6504,-6108,-19048,2370,-16365,15696
2524,-2836,-15380,-3097,-11866,5994
-4180,-1608,-15916,-7373,-7905,-565
-3988,-1912,-14244,-3264,-9338,10082
