Terminal log file
Date: 7/23/2015 - 3:42:50 PM
-----------------------------------------------
-1764,-3420,-17076,-384,-290,466
-1688,-4292,-17020,-518,96,1236
-2244,-4892,-16900,-654,153,12
-2052,-3944,-17172,-521,47,-419
-1292,-4208,-16216,-388,380,260
-908,-5964,-16872,-831,211,-1023
-948,-6380,-17264,238,-282,-178
-1152,-5200,-16308,2183,118,1472
1460,-4132,-17020,4009,1724,3539
3828,-8224,-21388,5379,4184,2154
400,-8628,-18020,5600,7511,-171
-80,-7748,-15008,3704,4678,-1925
-248,-8108,-15336,1784,2546,-4500
948,-8176,-15804,2511,478,-3397
604,-8444,-14712,2952,-1330,-6070
1692,-7788,-13512,1684,-1600,-6132
2076,-8260,-13380,769,-2292,-6311
3240,-7996,-13388,533,-1988,-5261
3208,-9024,-14140,-63,-1665,-5160
3684,-9644,-15372,-1406,-1193,-7886
9940,-7068,-17656,512,2263,-1712
9124,-7644,-18968,3638,3617,-2098
5644,-8472,-27920,-223,3465,-2891
1096,-9080,-11560,5181,2626,7856
6804,3948,-14612,-5363,-443,11174
-10748,-13112,-17500,-4119,-3585,18081
-4764,-9968,-13968,-1287,-7233,11018
-2912,-5788,-12940,-3605,-8194,5509
-4224,-4628,-15304,-3451,-5852,9171
-2892,-5552,-13760,-3522,-6688,6701
-2940,-7488,-14032,-2751,-7177,5299
-2880,-5648,-13936,-2203,-5747,4404
-2476,-5792,-15128,-4791,-5187,2695
-4140,-6952,-14912,-5418,-5596,2414
-4544,-6860,-20460,-6683,-7015,-1469
-4696,-14296,-15168,57,-3063,-848
-2660,-8996,-21316,209,262,-1544
-3692,-15448,-20944,6002,7111,712
-5268,-5204,-17504,6978,10591,-11255
-5932,-432,-26756,11527,16245,2741
-5556,-5768,-21612,10496,12947,4905
-5200,-9452,-15884,11451,13981,2127
-4172,-4156,-10908,7879,7560,-4411
-3188,-3968,-11456,4428,5657,-7257
-4204,-4408,-11168,5987,-1472,-7242
-1076,-2092,-10100,4937,-5190,-7072
3096,-3664,-10384,-1341,-6871,-3231
3260,-7612,-10640,-4718,-5233,-1567
2360,-13016,-16664,-6031,-3047,-1667
7412,-22204,-17052,245,-6913,-4382
-1808,-9532,-22756,-1822,-1461,-9856
13352,-6208,-11176,1254,-2318,-7152
-17972,4440,-27712,-8555,-2305,6132
-1220,-2504,-7940,1734,2812,12063
-9748,-3692,-12240,-2123,-1808,18206
-4860,-14496,-17836,-5443,-5367,8427
-1644,-3656,-14784,-6138,-2381,2866
-4056,-5212,-12328,-3720,-8656,5059
-3104,-4184,-14584,-3238,-9779,8218
-1556,-5476,-12424,-2828,-8000,7521
-2516,-6024,-14096,-3156,-6029,7517
-3796,-7440,-15544,-5929,-5092,4507
-4712,-10380,-16760,-5640,-4802,1404
-2792,-13424,-17692,-2449,-3818,-1030
-68,-11868,-21256,1197,3337,-2102
-788,-15900,-19252,7294,8065,-4813
-864,-6228,-23568,8044,15554,-14918
-10740,-3492,-26836,8369,12956,1327
-2868,-9668,-24340,10653,17281,-230
-5840,-8720,-9824,8964,12853,-5877
-3896,-4008,-8804,5754,4718,-8119
-7716,-3420,-7240,3566,-655,-9304
-2344,1444,-8716,6970,-6912,-8307
2324,2496,-8188,-892,-7126,-4793
2496,-5572,-10760,-8021,-4384,-1119
6016,-19576,-18816,-5269,-2048,-8984
5604,-25048,-27324,1769,-23,-6683
5496,-13768,-12548,1531,-1223,-11325
9200,-13584,-18972,-2705,2936,-7313
8820,-3224,-26868,-9132,-3943,8466
-4920,1964,-3592,-319,5893,7644
-10816,-7712,-19324,-7341,-3553,19107
-900,-14176,-16696,-1867,-5902,9153
-4884,-4648,-11700,-4460,-8487,3366
-2088,-6528,-13628,-6579,-11178,2944
-808,-3956,-13768,-3723,-9424,5790
-3972,-4936,-12716,-4612,-8298,6167
-1576,-7104,-15176,-4531,-7231,7337
-5144,-6812,-15020,-6198,-6360,4485
-5404,-14024,-17884,-6163,-5047,-824
-1364,-14244,-16440,235,-532,-4239
-5740,-17808,-19964,4110,6258,-2695
-5184,-11316,-17204,9086,12678,-9671
-9240,8,-25416,10081,16011,-8379
-3996,-7360,-29572,10945,13398,4880
-4688,-7304,-14540,9601,14890,466
-3020,-5732,-13492,8401,8460,-6174
-2360,-2284,-13052,6219,5629,-7556
-3876,-3836,-7672,5300,-1604,-10474
-3156,-132,-8144,3504,-5661,-7860
948,52,-8824,-2914,-7893,-3610
3712,-4932,-9796,-8176,-5982,-1201
7964,-22284,-18620,-7487,-4371,-9041
4968,-22304,-28528,2949,675,-4815
8556,-6064,-8856,1794,-435,-10768
-11300,-5808,-20876,-1698,3939,1509
3976,-10600,-27792,-9341,2161,6783
-3908,-144,-4920,2353,1067,13421
-7780,-9988,-20380,-6731,-4884,15661
-3264,-13844,-17120,-3822,-5880,6464
-2072,-3216,-13280,-3467,-6713,5194
-2496,-7812,-12604,-4281,-8715,4506
-2204,-7236,-13804,-3843,-8680,6057
-4180,-6740,-11328,-4464,-8129,5771
-2348,-7620,-15416,-5150,-5956,4317
-4956,-6648,-16484,-4499,-4926,4441
-5680,-9164,-16556,-3394,-3486,3048
-3480,-11900,-16772,3,820,3878
-1008,-14752,-16672,2260,4793,1417
-600,-16148,-19904,5947,9231,-4157
368,-6664,-23412,6682,13980,-14020
-7292,-1272,-28268,12506,15816,4375
-2572,-7896,-24132,8986,12772,2545
-5076,-8612,-12136,9450,11916,1777
-2276,-7636,-10832,8707,6555,-2883
-4360,-4876,-9360,3638,1429,-8310

-----------------------------------------------
Date: 7/23/2015 - 3:42:54 PM
End log file
