10484,14940,-16512,1175,-8528,2381
10532,13696,-15328,-1140,-3130,4368
7340,7452,-11924,-1421,-2813,3693
2632,6288,-21876,-817,55,-6282
-1584,14076,-31092,1410,7430,-6694
-10768,5392,-5440,224,5978,-7461
-4232,7980,-6012,4639,3342,-11551
-8112,17292,-10996,1007,5736,-20544
-10596,11748,-15388,-2199,-2266,-25013
9692,6304,-17876,3572,-15090,-6436
-2320,12172,-13952,7516,-8051,-929
-6556,14872,-11844,-564,-4306,-15874
-248,11008,-9696,-720,-288,-15221
-5272,11320,-11860,-180,-1979,-8748
-3936,10188,-15040,36,-2657,-9253
-1096,8780,-13672,2852,-2396,-5041
-3076,12180,-15580,2825,-615,-3794
-2908,14396,-14388,1230,3459,-3228
1208,14144,-13812,148,7252,-1873
-2288,19312,-12760,25,10143,5621
-3644,19300,-16944,-4140,6786,17725
-2984,12508,-19720,-7674,6035,19239
-2140,7768,-24184,-8829,18087,9537
-1044,9700,-18344,-13415,20267,-3069
-11128,10012,-10520,-7293,6977,10911
-3056,10404,-10832,-3572,-5389,25453
-2956,8052,-8976,-4994,-5024,20293
-1368,3872,-11488,-2185,-7255,16692
-952,1536,-10608,-1388,-9142,8210
2052,4160,-9208,653,-11465,2410
7612,12592,-12160,2349,-11874,773
12888,18412,-18932,-2479,-9953,1604
9520,14868,-16728,-406,-7188,5686
9228,9936,-13464,-817,-4091,4786
6148,5488,-13040,-376,-2196,1234
-3836,12300,-25648,-1185,4519,-14147
1472,5344,-17968,-5732,8977,-14751
-7156,5036,-9140,1499,7704,-13471
-7164,10200,-9932,6456,6189,-8374
-11020,19240,-13384,502,1173,-25693
-4548,8640,-10948,1013,-8806,-17471
4412,5200,-15420,6547,-11408,-4787
-4544,13600,-14136,3685,-7732,-6507
-3004,10604,-10892,-1649,-2312,-17750
-4144,11344,-9744,1653,-1026,-10053
-4868,11468,-13408,2059,-2911,-8025
-3196,8152,-14812,2029,-2465,-8279
-1376,10356,-17720,3556,194,-5665
-4284,14440,-14560,113,5583,-7561
116,16300,-11744,-730,6631,-4610
-508,20008,-15624,-659,10305,4119
-5316,16436,-14700,-3381,11846,15799
-10744,15548,-16132,-6946,3073,21688
-984,9576,-22948,-9138,12111,13540
-116,7456,-19660,-10442,18658,3242
-9384,7196,-12380,-8517,11110,6921
-6560,10064,-9876,-3696,-3254,23320
-4428,9836,-11348,-5450,-6031,23331
-2584,3972,-12040,-2893,-5851,19274
-2876,2968,-11512,-2421,-7807,13228
-108,3636,-8040,-532,-11300,6876
6384,5804,-9444,1551,-12348,1830
10820,14232,-15492,-410,-11269,944
12800,18236,-18668,278,-7088,3214
10356,16240,-15564,62,-5442,3859
6524,8200,-20368,-514,-3201,5775
336,14684,-24836,-484,6338,-8593
-4360,-1060,-11016,-5463,9262,-17215
-2544,-148,-10128,1871,7412,-17711
-8316,10796,-12348,8690,9547,-15111
-11012,24220,-15196,1937,3954,-28345
-1488,7968,-9060,-845,-9851,-23288
-996,5952,-14408,10954,-11547,923
-4972,15364,-12308,6247,-14703,-5640
1240,10572,-11488,-846,181,-14429
-5892,10780,-9756,-680,-1327,-10234
-5184,10424,-10896,337,-4384,-7855
-1972,8756,-15644,1999,-1818,-7732
-3120,13332,-17056,3060,818,-4990
-1712,16004,-13748,974,3975,-3535
-768,18692,-12372,943,8078,2043
664,22356,-17464,-3230,9562,11782
-7864,14776,-13596,-7647,7038,21807
-4504,10824,-20728,-9323,8034,18268
608,10692,-23880,-13037,18365,4616
-2024,8908,-18108,-12652,16609,1308
-8832,9640,-9448,-5835,-221,15852
-1536,10332,-11108,-5101,-6890,23471
-3900,5904,-10376,-3077,-6321,20257
-2356,1508,-11216,-1239,-6319,11804
-724,1048,-8280,199,-9894,5286
1636,5536,-8232,3707,-13782,4153
11260,16608,-13228,1788,-13330,2965
14464,21408,-21940,-4757,-7068,3650
8640,13048,-14932,-690,-5049,7471
8984,10944,-14712,-445,-4329,6718
6408,6968,-21240,80,2635,-3505
-8676,10588,-28188,-4566,12024,-14217
-5464,1888,-9260,-199,9299,-8765
-8680,7948,-7476,7075,5568,-7118
-7904,17608,-13516,3794,4131,-25134
-6584,13396,-10772,-3280,-1592,-29863
3744,5536,-13048,3644,-8378,-15021
-4812,11328,-12992,9933,-9580,-2758
-3728,14348,-12312,1781,-9577,-14785
-1272,8784,-10436,403,323,-15229
-5028,11420,-11644,1891,-2185,-10292
-4056,9780,-14332,2773,-3008,-8480
-1704,13176,-16792,3641,-493,-5888
-1984,14860,-16636,2022,1392,-6780
-2816,17128,-12604,-159,6823,-2983
-1400,19816,-13804,-1557,9814,5200
-760,16344,-16660,-4173,12494,17293
-9440,12604,-16664,-6814,5589,21417
-5164,11848,-22528,-10267,11400,12262
776,10224,-19876,-13607,18875,-201
-12936,9224,-9716,-9117,8619,7200
-5412,8620,-10404,-3720,-8313,25695
-3192,7868,-11344,-4004,-7436,20846
-3556,2520,-11168,-4127,-6214,14683
-1964,956,-11080,-611,-9720,8633
592,3672,-9936,3054,-13023,4872
6736,11648,-12184,3593,-12640,2538
11928,16912,-17096,-1417,-9149,4157
9340,15684,-15920,701,-6599,5357
9448,15832,-13204,-845,-3776,7171
6856,5564,-11848,-1083,-3771,5796
-3088,8484,-27804,-1132,2903,-12574
1624,7672,-26880,-3503,11758,-14843
-11372,5684,-6520,3073,8832,-10595
-6128,8936,-6176,9106,4214,-10898
-10124,21632,-12304,1850,1394,-16580
-5272,7176,-13784,-1828,-6007,-23482
7492,4548,-16600,2985,-9518,-13817
-5324,15204,-12628,4138,-7467,-8351
-40,12432,-10316,-149,-1144,-16759
-5820,11824,-9772,912,563,-10278
-4924,10560,-13788,2021,-3345,-9330
-2416,9096,-14456,5071,-3947,-6947
