-4792,-6212,-11192,4530,136,-12258
-4500,-924,-9192,1394,-7488,-16643
-2036,1548,-8728,-2922,-11542,-15206
-24,1200,-9276,-4575,-10282,-5282
1096,-1480,-11544,-3225,-8644,4293
7996,-9488,-24592,-1739,-8440,5923
2692,-24320,-32692,709,4268,-8353
5552,-10120,-14860,6060,5704,-10431
-3716,-236,-11948,-1392,-1430,-4703
-18872,-9952,-31576,-615,-5416,6564
1476,7288,-7924,10893,8134,16365
-16492,2996,248,-3339,-5400,16796
-10328,-17052,-24012,-5858,-7005,13203
-4592,-9708,-16648,-3140,-4703,10381
-4084,-4788,-12620,-760,-8178,12637
-2452,-3880,-12908,-3300,-8542,10538
-4948,-3672,-14728,-1904,-3497,19092
-5924,-6472,-13576,-4145,-2373,16374
-3552,-9960,-14084,-4752,-3711,15185
-7844,-13268,-11892,-7197,-4395,7042
-8608,-10612,-14976,-4217,-4707,2384
-3336,-7560,-22528,-1715,-455,61
-8136,-12820,-20428,1865,5785,-277
-6108,-15168,-21216,6447,10780,-11912
-1000,-6488,-17976,8775,17787,-15910
-10992,-2412,-21732,8493,14903,-17386
-7288,-2612,-25668,6534,14317,-11631
-3860,-6260,-16640,7942,12139,-6871
-5048,-7024,-11812,4381,6184,-8428
-4544,-5356,-11256,5236,1839,-10402
-3972,12,-9072,985,-5241,-13483
-1556,1996,-8160,-2592,-9922,-11010
124,376,-8136,-4388,-9575,-2364
2184,-2880,-11804,-4325,-9565,4762
11188,-16492,-29928,-3098,-3057,478
2116,-32340,-30172,8189,6803,-5115
6256,-4664,-8040,3557,2898,-10662
-5332,1400,-8104,-3924,-3037,-5485
-6820,-13800,-32768,-4175,-3993,1835
-8236,6540,952,10161,5618,20846
-13700,3984,-492,-5462,-9294,16543
-10064,-13940,-26072,-5448,-5608,12106
-6724,-10892,-17040,-2768,-7730,12062
-4372,-3976,-13512,1176,-5897,14741
-3116,-4288,-13492,-1203,-8504,14025
-3604,-5048,-13644,-1698,-4975,17666
-6572,-7300,-13688,-3381,-2960,15864
-4184,-9248,-14420,-4792,-4646,16460
-5748,-11924,-12296,-7691,-3424,6448
-7400,-10124,-14936,-4252,-4261,4703
-5556,-7764,-20700,-1881,-1087,1074
-5156,-12036,-17308,-1582,2816,-1938
-8312,-16144,-20056,3323,8121,-6057
-3716,-10144,-21428,7974,15455,-15484
-10428,-4488,-17760,10296,18534,-16941
-9644,628,-27212,7243,13892,-15118
-4288,-6400,-18856,8844,12951,-5074
-4440,-5848,-12640,5839,7237,-9197
-4204,-7668,-12000,4642,3392,-11965
-4844,-1140,-9552,2094,-3512,-16164
-2252,956,-9068,-1877,-8503,-15149
-188,700,-8216,-4715,-8539,-7319
464,-504,-9148,-4221,-7132,3155
4744,-6712,-18084,-2640,-9225,8198
6772,-23080,-32768,-799,2089,-5490
4224,-17996,-18532,10333,3965,-10776
5772,-3840,-5768,-1348,-323,-10224
-11284,-5432,-29968,-5221,-7435,-623
2144,-5148,-31468,5508,112,2182
-1336,9668,-876,6968,2700,18841
-11948,-1584,-9100,-4749,-8540,15195
-7984,-18296,-24320,-4203,-4756,11918
-5128,-7812,-15608,-1036,-6122,13158
-3136,-5300,-11792,-1710,-8352,10841
-2788,-5960,-12784,-2990,-7225,11865
-4744,-6268,-14264,-3218,-2734,16567
-5104,-6928,-13652,-4966,-3388,14263
-5124,-11304,-14052,-6657,-5013,12100
-8232,-13508,-11468,-6726,-5023,4254
-9348,-10536,-15612,-3777,-5275,-329
-3812,-8044,-22480,-2271,-433,-582
-6452,-12828,-20092,1459,6438,-2045
-5852,-12276,-22768,7381,13759,-10648
-1584,-5116,-18628,11093,20006,-12956
-9660,-176,-26268,9574,13963,-14824
-6300,-4732,-22100,7520,12678,-6983
-6192,-7248,-12484,5256,8496,-10845
-5080,-8236,-11992,3749,5277,-11548
-5256,-2728,-10572,3474,-1045,-15608
-2664,1004,-9708,962,-6786,-15055
-1052,1248,-7924,-2493,-9549,-12495
-104,-472,-8124,-3878,-7820,-2687
1088,-3732,-12088,-3545,-9708,5421
14072,-19936,-31884,-3372,-1130,-3085
3348,-32768,-24308,10080,5711,-7458
6868,-2004,-8244,1300,-84,-10249
-10068,-3572,-32768,-7090,-3659,-722
1476,1724,-19020,5218,11204,8559
-16420,7960,5036,660,-4597,20205
-6596,-12300,-24888,-8679,-7137,9698
-6856,-14252,-18880,-3032,-9945,8166
-3356,-2544,-14880,-1070,-7197,13254
